recording_id	canonical_recording_title	canonical_song_id	label_id	source_id	recording_year	country	language	gap
REC002812	La Sortija	SONG002076	LBL000003	SRC0001				artist
REC002834	La Ultima Cancion	SONG002095	LBL000003	SRC0001				artist
REC002857	La Vida En Rosa	SONG002108	LBL000003	SRC0001				artist
REC002863	La Vieja De Pancho	SONG002113	LBL000003	SRC0001				artist
REC002866	La Virgen De La Macarena	SONG002116	LBL000003	SRC0001				artist
REC002881	Lagrimas Negras	SONG002128	LBL000003	SRC0001				artist
REC002885	Lamento Borincano	SONG002130	LBL000003	SRC0001				artist
REC002923	Las Dos Huastecas	SONG002159	LBL000003	SRC0001				artist
REC002924	Las Esquinas De Tu Casa	SONG002160	LBL000003	SRC0001				artist
REC002926	Las Golondrinas	SONG002162	LBL000003	SRC0001				artist
REC002944	Las Mañanitas	SONG002170	LBL000003	SRC0001				artist
REC002949	Las Naguas Blancas	SONG002173	LBL000003	SRC0001				artist
REC002969	Las Tres De Maria Luisa	SONG002187	LBL000003	SRC0001				artist
REC002977	Lastima De Ti	SONG002193	LBL000003	SRC0001				artist
REC002979	Le Pido Al Cielo	SONG002195	LBL000003	SRC0001				artist
REC002982	Lengua Larga	SONG002198	LBL000003	SRC0001				artist
REC002998	Limosna De Un Hijo	SONG002208	LBL000003	SRC0001				artist
REC003007	Linette	SONG002215	LBL000003	SRC0001				artist
REC003010	Lisboa Antigua	SONG002217	LBL000003	SRC0001				artist
REC003012	Llegando A Ti	SONG002219	LBL000003	SRC0001				artist
REC003023	Llego La Bomba	SONG002223	LBL000003	SRC0001				artist
REC003050	Lo Pasado Pasado	SONG002247	LBL000003	SRC0001				artist
REC003058	Lo Siento Por Ti	SONG002254	LBL000003	SRC0001				artist
REC003062	Los Albañiles	SONG002257	LBL000003	SRC0001				artist
REC003082	Los Caracoles	SONG002270	LBL000003	SRC0001				artist
REC003086	Los Cuatro Vicios	SONG002273	LBL000003	SRC0001				artist
REC003087	Los Desengaños	SONG002274	LBL000003	SRC0001				artist
REC003088	Los Deseñganos	SONG002275	LBL000003	SRC0001				artist
REC003100	Los Fomentos	SONG002282	LBL000003	SRC0001				artist
REC003104	Los Girasoles	SONG002284	LBL000003	SRC0001				artist
REC003107	Los Gurriones	SONG002286	LBL000003	SRC0001				artist
REC003118	Los Mecanicos	SONG002292	LBL000003	SRC0001				artist
REC003120	Los Ninos Heroes	SONG002294	LBL000003	SRC0001				artist
REC003140	Luna Bonita	SONG002312	LBL000003	SRC0001				artist
REC003141	Luna De Miel En Puerto Rico	SONG002313	LBL000003	SRC0001				artist
REC003154	Madre Bendita Seas	SONG002320	LBL000003	SRC0001				artist
REC003157	Madrecita Querida	SONG002322	LBL000003	SRC0001				artist
REC003168	Mal Pagadora De Amores	SONG002331	LBL000003	SRC0001				artist
REC003170	Mala Lengua	SONG002333	LBL000003	SRC0001				artist
REC003173	Mala Racha	SONG002336	LBL000003	SRC0001				artist
REC003190	Malena Querida	SONG002348	LBL000003	SRC0001				artist
REC003195	Mambo #5	SONG002352	LBL000003	SRC0001				artist
REC003196	Mambo #7	SONG002353	LBL000003	SRC0001				artist
REC003197	Mambo Del Ruletero	SONG002354	LBL000003	SRC0001				artist
REC003198	Mambo Moderno	SONG002355	LBL000003	SRC0001				artist
REC003203	Mango Chupao	SONG002360	LBL000003	SRC0001				artist
REC003204	Mangos...? La Nueva Fiebre	SONG002361	LBL000003	SRC0001				artist
REC003206	Manolo Martinez	SONG002363	LBL000003	SRC0001				artist
REC003217	Margarita	SONG002373	LBL000003	SRC0001				artist
REC003218	Maria Adelita	SONG002374	LBL000003	SRC0001				artist
REC003219	Maria Ay Maria	SONG002375	LBL000003	SRC0001				artist
REC003225	Maria Elena	SONG002378	LBL000003	SRC0001				artist
REC003231	Maria Teresa	SONG002383	LBL000003	SRC0001				artist
