recording_id	label_id	relationship_type	source_id	confidence	review_status
REC000415	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000416	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000417	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000418	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000419	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000420	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000421	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000422	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000423	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000424	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000425	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000426	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000427	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000428	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000429	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000430	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000431	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000432	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000433	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000434	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000435	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000436	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000437	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000438	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000439	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000440	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000441	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000442	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000443	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000444	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000445	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000446	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000447	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000448	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000449	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000450	LBL000002	recording_label	SRC0001	high	raw_extracted
